,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANDV,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,AJG,AIZ,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BAX,BBT,BDX
MMM,1.0,0.9571766497017921,0.9433839022354328,0.9768260693260795,0.9460639210967519,0.9256621908917096,0.9501498392487628,-0.383923899930123,0.8726128262412208,-0.2634994090127003,0.9727287629734191,0.8474111415735752,0.9354524796917363,0.7461763669483273,0.970793640205779,0.2922534060392683,0.9490300613836427,0.9138898736843142,0.8741937611855715,0.8544316287503968,0.39763688384333906,0.9379343712644099,0.8871871760562892,0.8974351902122075,0.9793543203876789,0.9249375946545911,0.9720526036747138,0.9718835803997741,0.9753415983548653,0.9584742093082028,0.9217972472040228,0.639493190684319,0.973099322561461,0.8762392800695554,-0.6218083683852439,0.9406223628780921,0.9757404417585153,0.9558172231080154,0.936447597331001,0.9432233512178647,0.9429387638360289,0.9829120058960251,0.5403246669171606,0.824853414041006,0.9311261371639492,0.935358985010038,0.9548910020495328,0.9763943351198485,0.9793169563845991,0.15295770505231251,0.9243282053689771,0.9557008283809935,0.6044741285553439,0.925979157815114,0.8400131569812977,-0.5309101918110508,0.9716959064894982,0.9142921051041306,0.873476992564205,0.9075705170988979,0.9718005802163676,0.9254497401499582,0.9264199656915519,0.8242598803806027,0.28731985569818047,0.9719217067267908,-0.1823205121812405,0.6686137608132677,0.9244285314048293,0.9066641866634183,0.9797940536256972
ABT,0.9571766497017921,1.0,0.937070743047024,0.9651415926788363,0.8964094493204743,0.9027729327754852,0.8969510143151869,-0.47859459195308,0.8995420913701355,-0.22705301332738037,0.9390009633818567,0.9031998519290939,0.9114626118835609,0.7194303012954408,0.964310095587442,0.30640853523948447,0.9222655119681812,0.8910438228851023,0.8375736156760488,0.9262277666874895,-0.08497765028561584,0.7542192349104491,0.9130147209258578,0.9504891196410337,0.9589907635722709,0.870255976488791,0.9412746354557746,0.9408105322000838,0.9534997645192536,0.9055611247876572,0.8534847612351635,0.5725402429024885,0.9644591084579939,0.8896197577790435,-0.6911459045875515,0.9510374645871256,0.9198185229770186,0.9547610450009447,0.9610783134145491,0.9748443520980442,0.9283166267699442,0.974108811559287,0.6463482255947981,0.7808196636300699,0.933907662144653,0.9572254956691282,0.9147111844623704,0.9686408457973471,0.9319360384470887,0.2155787171276181,0.8906341161432548,0.9690627191058347,0.5069585722343499,0.9590764274565292,0.8656883364091821,-0.5936255677065638,0.9639516666623604,0.8635712978625084,0.9032638342756001,0.8554163854874602,0.9571982941567214,0.9384619906348207,0.9349201115149988,0.7037438683685172,0.29008167893884335,0.9683659225312465,-0.29815941056141737,0.6371917894245336,0.9390148763881816,0.8572705229923651,0.9554400271889704
ABBV,0.9433839022354328,0.937070743047024,1.0,0.8883537859710195,0.867746684124648,0.5612048075262032,0.9261257129992174,0.6473189676226123,0.2510865386301704,-0.07231795726790395,0.9376381440638314,0.12975220418007025,0.8848374574543727,0.9064040762235126,0.9092683682633577,0.329084073909477,0.7151282284930509,0.7647289389624774,0.8861746584988721,0.16528649806709073,0.13486634489117688,0.8453228465177991,0.4283753501328725,0.3092972343146513,0.87254090262471,0.9414763337593528,0.8604280433861723,0.8610896720017934,0.7972851915984815,0.8372174229155602,0.8869109233043619,0.7627982901351019,0.8914030610801674,0.47175306349167334,0.8059461077605873,0.9178113074696995,0.8533521421045943,0.8632622972954652,0.6116893994002053,0.8703101535663006,0.8906507712369356,0.9420800522807037,-0.5861616499103225,0.8912294434236043,0.8165082070427875,0.8660444904748336,0.9348366418128675,0.9350370002849081,0.8828888638485947,-0.6534875619328047,0.830567011884251,0.9206364203783842,0.873140339969656,0.8962470241624033,0.5793069579334778,0.24183118677668208,0.9005873011130068,0.8353950257766668,0.6528758488305455,0.8794670264131885,0.917249617543096,0.5227766778906894,0.8042440120832757,0.9106623697050985,0.022598639415947298,0.863357265852119,0.8347226718152109,0.9223150116638564,0.8528568298518369,0.8545365236408554,0.9184844092041153
ACN,0.9768260693260795,0.9651415926788363,0.8883537859710195,1.0,0.93808232139923,0.939715836219184,0.9346666527261072,-0.35700591119448044,0.8950127067462347,0.023413417331428512,0.9546935182298152,0.8315535189332866,0.9231981968889009,0.9483903332621293,0.9692767474994297,0.7871756024906419,0.9497546387546154,0.9264936531415576,0.8570181614724267,0.8774949274683842,0.36886060240195206,0.9512825275245743,0.8885500507977385,0.9039772074277235,0.9882582114427922,0.863950243985072,0.9772178153721758,0.976950697496254,0.9859799278998984,0.9694440381427718,0.8760867842189622,0.55518648518228,0.9798228280464639,0.8536456761277063,-0.6576500885912494,0.9788238903126736,0.987284687652945,0.9187327397580803,0.9353366394191636,0.9583535377532018,0.9356195134350547,0.9866221848312674,0.5396299550757827,0.9347813776860958,0.9243816418381006,0.9620379893949169,0.9234571856375783,0.980704241170519,0.9742170276729161,0.07882466341216836,0.9135760109016735,0.970409870248554,0.738200875406355,0.8699584171963557,0.8248261019481324,-0.5859159725113996,0.9704638934625461,0.896584111171861,0.9412480931366686,0.8695075406674493,0.9839459674041585,0.9523927694871809,0.950522626716603,0.7728844298254605,0.19571035023441655,0.9809855191036436,-0.3615738522586084,0.7418884321946282,0.9447184362843465,0.8530649590466405,0.9777405402632156
ATVI,0.9460639210967519,0.8964094493204743,0.867746684124648,0.93808232139923,1.0,0.8689407888777054,0.9705815906041955,-0.3257443832916233,0.7543630673840679,-0.2229663422208211,0.9547723371197337,0.7145976093284205,0.8995532550446749,0.73907471089436,0.9186059922257224,0.26441978599545807,0.9017835342861746,0.9077649862171797,0.8726126770524861,0.7265426243192202,0.37645080388742747,0.9566399659416814,0.7822885039062323,0.7646837458071901,0.9477403765510953,0.8824163033622848,0.9482108192246216,0.9481583341883213,0.9419524931864236,0.9738411029202803,0.9075815631667209,0.5372646211361258,0.9391453775061928,0.7476922339155231,-0.5887387595883119,0.9103973918928031,0.9277082882143699,0.8296140791730381,0.8373936488845383,0.8672212819218041,0.8796552093474442,0.946372582723455,0.40628703803881716,0.8004771854617934,0.8824691670272528,0.8941303496814126,0.9217464829924893,0.9506225327051417,0.964948619045557,0.13113507508245095,0.8755867377096503,0.9067779893356849,0.6668005035909611,0.8219619865143812,0.7638421963147114,-0.496336445744962,0.9022111006588137,0.9150123882199852,0.8420154773746029,0.9117758772479089,0.9288275528767834,0.8387604657002198,0.8679170660888517,0.8438268678229967,0.25294864596617517,0.9043256570952934,-0.15144678307131348,0.7050663514222314,0.9416279451758811,0.8437369573795841,0.9650684794290822
AYI,0.9256621908917096,0.9027729327754852,0.5612048075262032,0.939715836219184,0.8689407888777054,1.0,0.8716400469737422,-0.33857885565982104,0.9394951240133315,0.09781395016613573,0.9153795940546072,0.7825592383942344,0.8691692432141837,0.856947579631629,0.935153072389716,0.7865733952266929,0.9547487095453899,0.7842474340686153,0.8145497811521121,0.8603123660578577,0.007189894779712393,0.528835230879423,0.9281364729499855,0.8790799855263539,0.937493781576989,0.8290762095501525,0.919267718567048,0.915236147063511,0.9575430325827051,0.9033986006962949,0.8475097245985472,0.6076356272581649,0.935011400661972,0.7757043651715927,-0.5608482193865666,0.9030722015898363,0.9144188450462664,0.8446227525548358,0.9339327678282943,0.8801754596765525,0.9328947048485634,0.9201485357340728,0.45230797075824974,0.8700479681058785,0.9088521388767534,0.8595006016668691,0.8781057959470112,0.9291080037880257,0.9313073416707304,-0.02688561969915727,0.9033654952955832,0.8862687434204972,0.6458675305367402,0.7500316978933279,0.8097958562332956,-0.5006674539155201,0.8926105993705602,0.8872769897093998,0.9024941272722414,0.7752304837101716,0.9379963236229709,0.958507990761576,0.904823610896117,0.7524835456272835,0.19016984885203206,0.9471435183554748,-0.3034652945783672,0.7489172704276829,0.8435729073459224,0.8140907453766454,0.9359048934673966
ADBE,0.9501498392487628,0.8969510143151869,0.9261257129992174,0.9346666527261072,0.9705815906041955,0.8716400469737422,1.0,-0.2020872748675276,0.7674357880273777,-0.09460466900809048,0.9657859354741287,0.7505391039500728,0.8947321877562554,0.8005106145847458,0.9119922030091,0.3352996899028153,0.9103555695309496,0.8789514251467863,0.8678534383771398,0.7360562628281012,0.803368758107997,0.9421811290254315,0.8043369366795223,0.796989849675437,0.9413948926527363,0.9299460532534148,0.9490497366930633,0.9490022315288597,0.9259363474967014,0.9563591506911228,0.9309534794322422,0.6720452165136547,0.9389394833548702,0.8155702008985563,-0.48184798693687575,0.9175442688759431,0.9459982893077039,0.891891373347874,0.8420273058391671,0.8577236804338398,0.9126277471886127,0.9434938813135768,0.3927349819836095,0.865715701281862,0.9097739100917532,0.8664488228026959,0.962216005487609,0.9503792252318615,0.9621095343754131,0.06283703994523898,0.9017824111294059,0.893953289765364,0.7459477829430312,0.887311347965345,0.7647536866851986,-0.4048293377739245,0.9040180073163077,0.9405548554276185,0.8491314866921329,0.924468971719886,0.9438687749144434,0.8213883781920255,0.8530969080110843,0.8947992335295715,0.30101048478774933,0.8899082549417797,-0.057496382380415295,0.7954547235583166,0.9154714027798915,0.8839357301665096,0.953927251991609
AMD,-0.383923899930123,-0.47859459195308,0.6473189676226123,-0.35700591119448044,-0.3257443832916233,-0.33857885565982104,-0.2020872748675276,1.0,-0.41801623191498505,0.6063732161649701,-0.31528086630848523,-0.4350314930462984,-0.4126315986475987,0.018760035585283472,-0.46565610778225447,0.084809910096068,-0.32873844939835095,-0.4111532623866006,-0.30289088271251335,-0.5101179552335181,-0.5726421764777195,0.7760640406197595,-0.40010358510776683,-0.4459732813434568,-0.38214566819965806,-0.19398023544388857,-0.313131009439027,-0.3131870764513751,-0.4135021834969686,-0.322297837962658,-0.2107237248345267,0.3323136272007296,-0.38475612244496493,-0.2663845307719398,0.7181819653339299,-0.34483198950567207,0.29383847396423995,-0.22513094203243889,-0.472257607324515,-0.5089304089109692,-0.26804598767552645,-0.4186226692371576,-0.5131041204799613,-0.008524946097186174,-0.32485153824302293,-0.5088421516722611,-0.12793679992618603,-0.3798769461601197,-0.3239768853981773,-0.41913033247187004,-0.25102332801714705,-0.449808499661945,0.27823361634704546,0.36118205045976437,-0.4414066385003821,0.6018996539383905,-0.4159904589593331,-0.16371757207562718,-0.3576741310304174,-0.22165286192843905,-0.33072914793196734,-0.5142103380351623,-0.43765796095890314,0.00852533346634355,-0.003877019178138832,-0.48528307272408233,0.4712436135415108,0.1062807850591656,-0.4252474457054561,-0.22563515926734065,-0.40861887672367475
AAP,0.8726128262412208,0.8995420913701355,0.2510865386301704,0.8950127067462347,0.7543630673840679,0.9394951240133315,0.7674357880273777,-0.41801623191498505,1.0,0.09457193729676383,0.8444300389456227,0.846372187385238,0.8135265930144255,0.8059891793427068,0.9118298103809903,0.8370780996771245,0.9204254748165666,0.735444640984201,0.7331536749342761,0.941209980536547,0.04423823563738139,-0.168027510044154,0.9550206292076909,0.9407578006897943,0.8845777780557783,0.7430457688736368,0.8434288571544953,0.8387271711167198,0.9145510831019779,0.8083099125249456,0.7400016449284208,0.5432792539519986,0.8851824645894951,0.8193644259756189,-0.653526097777251,0.8835869356270553,0.8023500980092189,0.8403953474093524,0.9579642797604117,0.9069680626248526,0.8940318410622335,0.8851754722795373,0.6258629148209375,0.8112257261265046,0.8676786526622458,0.8609958406576232,0.8231222862090204,0.880656909267193,0.8473766724743202,0.08506937750562359,0.8376677620306189,0.8909191623021726,0.49574567909835027,0.6384096572634791,0.84155402711837,-0.5777347003097402,0.8723344164415698,0.7806697436807674,0.8713201018065396,0.7031044314620036,0.8964032986888133,0.9743422749047519,0.9066332895311517,0.5762583595872337,0.20913609550268514,0.9374464399674935,-0.43287272101669755,0.6231610109405371,0.7803161715762178,0.7491392249746369,0.8684013171727786
AES,-0.2634994090127003,-0.22705301332738037,-0.07231795726790395,0.023413417331428512,-0.2229663422208211,0.09781395016613573,-0.09460466900809048,0.6063732161649701,0.09457193729676383,1.0,-0.22344700880260507,-0.2148344435934535,-0.2539989141435157,0.2369145281229227,-0.26629007683739314,0.34572611184406554,-0.1714334696661206,-0.25244032119589715,-0.2747867649794207,-0.18260894680640358,-0.6350188763163801,-0.41327321634993797,-0.13411139880890716,0.03416679140925184,-0.1973834916200584,-0.1706235142293491,-0.18257867002405895,-0.1815957567149162,-0.239254283940943,-0.19651207077247834,-0.21779690171195284,0.3769390205697183,-0.1762357788585539,-0.08168448208613108,0.4805077779493783,-0.07450288737103644,0.1821267874773787,-0.0852594288344957,-0.24513486992169067,-0.2748497987552868,-0.11407929528421171,-0.22258022158443633,-0.20879427391742203,0.16019162811523757,-0.174409066216976,-0.29397296457957506,0.23984420957329747,-0.1722156653271613,-0.2078482671360557,-0.27570752236437424,-0.14149613442154324,-0.23290482099742849,0.28282579950755665,0.19046670201961835,-0.2685859360955497,0.39255294400521684,-0.2561670460635791,0.13384563639681352,0.014617876703116709,-0.2144563015866765,-0.11708093519642564,-0.2849934170648583,-0.2628834411589998,-0.07885000814432928,-0.00023979675642510066,-0.3108794871726097,0.029285716297756642,0.3368537902036495,-0.18555784615707255,-0.24883794224992128,-0.25251531024593854
AET,0.9727287629734191,0.9390009633818567,0.9376381440638314,0.9546935182298152,0.9547723371197337,0.9153795940546072,0.9657859354741287,-0.31528086630848523,0.8444300389456227,-0.22344700880260507,1.0,0.8392442574016578,0.930679855947949,0.7372829110895183,0.9599306051566742,0.3070469999449879,0.9329999800793954,0.8870912162637651,0.916414314844962,0.8075240556423511,0.6155214713393006,0.948872591863803,0.8570661252556185,0.859729249029062,0.9633481565792957,0.9470098413755299,0.9539540191500087,0.9524851280316207,0.9576767471545503,0.9423696808182184,0.9525752068162088,0.7003060807836343,0.9633756421964613,0.8519798624798507,-0.5647116748388777,0.9261085419959106,0.9665486630415621,0.9241024945912852,0.9116414294437466,0.9159809345909038,0.9277661243154358,0.9647402546844233,0.504267004983992,0.8023975124583599,0.9619385357892146,0.9142351931053553,0.9858517273278818,0.9637969715526924,0.9632639822873336,0.15709346040749256,0.9320342735163172,0.9275116251264841,0.6084030409389999,0.9239472697255725,0.8534484746293433,-0.46441579557366125,0.9310776775387406,0.9484542278188135,0.8591282359885719,0.9382566445278105,0.9487289603666486,0.8923372858844223,0.9209269825277079,0.8462793596329269,0.3751787651075999,0.9469868702694446,-0.07441271272151415,0.7186123890804472,0.9166404359705063,0.9130442514958452,0.9795118270277124
AMG,0.8474111415735752,0.9031998519290939,0.12975220418007025,0.8315535189332866,0.7145976093284205,0.7825592383942344,0.7505391039500728,-0.4350314930462984,0.846372187385238,-0.2148344435934535,0.8392442574016578,1.0,0.8784076525536171,0.626972501229799,0.8948393268249543,0.32624572856643896,0.7820629042152939,0.8023922225600154,0.807681615672389,0.8928801909367566,-0.3410822356663951,-0.3813666404065612,0.8286552132730524,0.9433710857372232,0.8426141540366066,0.8168272720435988,0.7768300040816715,0.7778004894694962,0.819158093396195,0.7218535323334935,0.7736232802567082,0.6415825530058724,0.8546485049896783,0.9396915744138431,-0.6177676584123716,0.8506942713013708,0.7065582552525687,0.9097282240552846,0.8944085590216478,0.9325901465382992,0.8038185156790958,0.869172680148874,0.8026042455919179,0.6281090028075396,0.8842242092404127,0.888288509063703,0.8171084381072599,0.8482074413503816,0.7724929367746779,0.39481246496376066,0.8345193169619843,0.8538553483937852,0.3279446858956164,0.6872110602186858,0.9142163316228652,-0.4525323297915539,0.8694775980677153,0.766499220387461,0.8159980452485552,0.806430422252448,0.8215101149770647,0.8513537683047407,0.8923534836671334,0.5660019881525438,0.5369606210036778,0.8862188550662271,-0.14980626926589047,0.5439197262763704,0.8072991801089556,0.8237286853109044,0.8383475925807852
AFL,0.9354524796917363,0.9114626118835609,0.8848374574543727,0.9231981968889009,0.8995532550446749,0.8691692432141837,0.8947321877562554,-0.4126315986475987,0.8135265930144255,-0.2539989141435157,0.930679855947949,0.8784076525536171,1.0,0.6839476204017342,0.9557039957321407,0.26412979846567197,0.8433429439498275,0.9202450291885405,0.9288702293780117,0.7929024467159161,0.12749967710207152,0.8990149776761295,0.7827374537567218,0.8537381009549295,0.9317930078128512,0.8874456149786094,0.9351312442683113,0.9365544697182809,0.9103844958160549,0.8818890662165522,0.8893840460281458,0.561804998323431,0.9289846917729534,0.8601269691036494,-0.651350704508119,0.9083343174250578,0.9016108043144627,0.9053895822780312,0.8672232140442144,0.9284914758003664,0.831304588271918,0.9460064585593825,0.6651001811123274,0.7034359659438519,0.8941618376608719,0.9396604130139478,0.8960678466358406,0.9245067835978806,0.8958946377486987,0.4038440824459306,0.889370800008627,0.8959336201113508,0.4848446595662842,0.8930046656641976,0.8970617199699803,-0.4725374743942052,0.9084840937522145,0.9310696226172528,0.8590214563466696,0.9218069439429036,0.8853336050988977,0.8618844444835684,0.920764544562515,0.7340332738631058,0.4860128081608608,0.9271772960523726,-0.1096070263211272,0.6424688286870451,0.912705007163312,0.8751797042630716,0.9490207486757681
A,0.7461763669483273,0.7194303012954408,0.9064040762235126,0.9483903332621293,0.73907471089436,0.856947579631629,0.8005106145847458,0.018760035585283472,0.8059891793427068,0.2369145281229227,0.7372829110895183,0.626972501229799,0.6839476204017342,1.0,0.7123307300505899,0.689200357781153,0.7471919341393377,0.7321554429886419,0.6171934578414027,0.673674517844863,0.6371777694716128,0.8630211585521501,0.69254149537577,0.8597632557086984,0.7741429542087596,0.6733642173511066,0.9499313450482658,0.9519980134633597,0.738381358344085,0.783949344796012,0.659932413201736,0.6243047499351736,0.7556110035018028,0.747979222622474,-0.3590489627047771,0.840346284894943,0.9307147754147446,0.9392391460676441,0.6855751221929267,0.7114519472554987,0.7641886505666914,0.7710598219300826,0.3674363002037362,0.899268611863644,0.7107802032724774,0.7049662447815132,0.9274654286654507,0.7850909293960718,0.7733656123366239,0.004772631458672235,0.7297053788274761,0.7556269597170255,0.8264174359852063,0.868060973136986,0.5710179717521869,-0.3007525006260017,0.7284087135311825,0.9110944242739175,0.7924903894260851,0.7089117733561876,0.8082292551793707,0.6681838022166092,0.6855746101152281,0.7072191070302313,0.20907314750870346,0.7004769373505235,-0.23779303226469442,0.7069227205646051,0.7344134719692145,0.6275443952159561,0.7342708958353814
APD,0.970793640205779,0.964310095587442,0.9092683682633577,0.9692767474994297,0.9186059922257224,0.935153072389716,0.9119922030091,-0.46565610778225447,0.9118298103809903,-0.26629007683739314,0.9599306051566742,0.8948393268249543,0.9557039957321407,0.7123307300505899,1.0,0.3104075710273315,0.921903626141567,0.9156399306279136,0.9045592437172847,0.8823227438087283,0.6537274582700516,0.88718205486422,0.8840018990214501,0.9219755244492294,0.9703657664095552,0.8841528054578335,0.9648539802535774,0.9640685434403896,0.9665265748276683,0.9154320006746801,0.8874957650910112,0.595029018960408,0.9688222336683098,0.8700327457205348,-0.6995230335921461,0.9450454106424235,0.9503770271176801,0.9510882586210238,0.9480949975694619,0.9630930169492432,0.899224453940791,0.9833963895039979,0.6654462132817393,0.753051495195778,0.9348282170050168,0.9588550925105923,0.9352932978884252,0.9688182831792489,0.9373906904182819,0.3183312717260621,0.9157627722827222,0.9577253995096174,0.5031259690817731,0.9335691997988113,0.9143534484461907,-0.5432020210825979,0.9432473786949328,0.9216739142787853,0.8973356903840565,0.9024821411559252,0.9463196041276453,0.942823353082272,0.9574527336592009,0.7296643521977804,0.41032929514231264,0.9814505501184823,-0.22780375326892427,0.6463382441740976,0.9342315931491302,0.8662722321771168,0.980764100883691
AKAM,0.2922534060392683,0.30640853523948447,0.329084073909477,0.7871756024906419,0.26441978599545807,0.7865733952266929,0.3352996899028153,0.084809910096068,0.8370780996771245,0.34572611184406554,0.3070469999449879,0.32624572856643896,0.26412979846567197,0.689200357781153,0.3104075710273315,1.0,0.35744187151028034,0.2771089894681781,0.24234391003539027,0.38101298218085417,0.06322114413234742,-0.16081238382628357,0.37145621993240824,0.8469647032206826,0.3389415442801924,0.2335505926951223,0.7399720676265134,0.7380023939278862,0.3173148637174219,0.3199334719871005,0.20553443783696523,0.7113443127263555,0.30804081491979074,0.40441736528356936,-0.17672739180653343,0.4579206648462849,0.7013899318046124,0.8121921532645369,0.33131744089623283,0.323435599079072,0.3660644894424581,0.34467938997682657,0.21263058048856567,0.49266613721074326,0.34913065905419116,0.30287805308467003,0.7799947238208879,0.338728188121478,0.3158705465165963,0.0023825940749512297,0.3291023171678553,0.34586442274868184,0.46811696355951554,0.7327230451406834,0.3018371019510469,-0.12119928277956513,0.2549468727506009,0.7567284491698899,0.42305961306477485,0.27593110514683594,0.3642126011267154,0.32699309721387093,0.3242569015584997,0.28880949711711845,0.1155132990687813,0.30427808185529626,-0.19419786005944917,0.34072202135713225,0.260398044247826,0.1922948825298365,0.30682261294860597
ALK,0.9490300613836427,0.9222655119681812,0.7151282284930509,0.9497546387546154,0.9017835342861746,0.9547487095453899,0.9103555695309496,-0.32873844939835095,0.9204254748165666,-0.1714334696661206,0.9329999800793954,0.7820629042152939,0.8433429439498275,0.7471919341393377,0.921903626141567,0.35744187151028034,1.0,0.8116705640891826,0.7885247693120961,0.8681308526575661,-0.7691386287067065,0.763679995413176,0.9419326258951762,0.8925321106044248,0.9443070753189868,0.8695875829202662,0.9453119524489794,0.9419503318684685,0.9681146764763956,0.9351665706280271,0.8683688502993264,0.6599208922384158,0.9414368429005064,0.8178292485857859,-0.5579498579347644,0.9069582313147229,0.9389859478103144,0.9089758040026251,0.9482579285334308,0.8915226765641777,0.9630455686595877,0.9383772977660751,0.45414488398617325,0.8551237123747488,0.9194238512363666,0.8648368513046599,0.9228873231455064,0.9497058823088551,0.9635520014976225,-0.0007146678265983326,0.9099818867755787,0.9241587502890642,0.6049065453968444,0.8717099629130702,0.7708292021979385,-0.5304204489879671,0.9279926222870216,0.8982259345427047,0.8724119144149148,0.813877379060095,0.9701933274804311,0.9366923480534269,0.8871029311143415,0.7990095792131755,0.19826711167630356,0.936405062330411,-0.23852127218064012,0.693351810119884,0.8629557951143649,0.85399023842575,0.9335709936339197
